event_id,tile_id,pre_image,post_image,mask_file,damage_class_counts,label_source,confidence,state,district,disaster_type
chamoli_2021,chamoli_2021_tile_001,processed/images_pre/chamoli_2021_tile_001_pre.png,processed/images_post/chamoli_2021_tile_001_post.png,processed/masks/chamoli_2021_tile_001_mask.png,"{""0"": 261576, ""1"": 0, ""2"": 0, ""3"": 360, ""4"": 208}",verified_ground_truth,1.0,Uttarakhand,Chamoli,FLASH_FLOOD
chamoli_2021,chamoli_2021_tile_002,processed/images_pre/chamoli_2021_tile_002_pre.png,processed/images_post/chamoli_2021_tile_002_post.png,processed/masks/chamoli_2021_tile_002_mask.png,"{""0"": 261563, ""1"": 453, ""2"": 0, ""3"": 56, ""4"": 72}",verified_ground_truth,1.0,Uttarakhand,Chamoli,FLASH_FLOOD
chamoli_2021,chamoli_2021_tile_003,processed/images_pre/chamoli_2021_tile_003_pre.png,processed/images_post/chamoli_2021_tile_003_post.png,processed/masks/chamoli_2021_tile_003_mask.png,"{""0"": 261821, ""1"": 0, ""2"": 0, ""3"": 0, ""4"": 323}",verified_ground_truth,1.0,Uttarakhand,Chamoli,FLASH_FLOOD
chamoli_2021,chamoli_2021_tile_004,processed/images_pre/chamoli_2021_tile_004_pre.png,processed/images_post/chamoli_2021_tile_004_post.png,processed/masks/chamoli_2021_tile_004_mask.png,"{""0"": 261267, ""1"": 0, ""2"": 90, ""3"": 544, ""4"": 243}",verified_ground_truth,1.0,Uttarakhand,Chamoli,FLASH_FLOOD
chamoli_2021,chamoli_2021_tile_005,processed/images_pre/chamoli_2021_tile_005_pre.png,processed/images_post/chamoli_2021_tile_005_post.png,processed/masks/chamoli_2021_tile_005_mask.png,"{""0"": 259265, ""1"": 434, ""2"": 314, ""3"": 755, ""4"": 1376}",verified_ground_truth,1.0,Uttarakhand,Chamoli,FLASH_FLOOD
chamoli_2021,chamoli_2021_tile_006,processed/images_pre/chamoli_2021_tile_006_pre.png,processed/images_post/chamoli_2021_tile_006_post.png,processed/masks/chamoli_2021_tile_006_mask.png,"{""0"": 261274, ""1"": 210, ""2"": 394, ""3"": 90, ""4"": 176}",verified_ground_truth,1.0,Uttarakhand,Chamoli,FLASH_FLOOD
chamoli_2021,chamoli_2021_tile_007,processed/images_pre/chamoli_2021_tile_007_pre.png,processed/images_post/chamoli_2021_tile_007_post.png,processed/masks/chamoli_2021_tile_007_mask.png,"{""0"": 261980, ""1"": 64, ""2"": 44, ""3"": 0, ""4"": 56}",verified_ground_truth,1.0,Uttarakhand,Chamoli,FLASH_FLOOD
chamoli_2021,chamoli_2021_tile_008,processed/images_pre/chamoli_2021_tile_008_pre.png,processed/images_post/chamoli_2021_tile_008_post.png,processed/masks/chamoli_2021_tile_008_mask.png,"{""0"": 261048, ""1"": 64, ""2"": 132, ""3"": 564, ""4"": 336}",verified_ground_truth,1.0,Uttarakhand,Chamoli,FLASH_FLOOD
fani_2019,fani_2019_tile_001,processed/images_pre/fani_2019_tile_001_pre.png,processed/images_post/fani_2019_tile_001_post.png,processed/masks/fani_2019_tile_001_mask.png,"{""0"": 261820, ""1"": 0, ""2"": 0, ""3"": 324, ""4"": 0}",expert_verified_ground_truth,0.95,Odisha,Puri,CYCLONE
fani_2019,fani_2019_tile_002,processed/images_pre/fani_2019_tile_002_pre.png,processed/images_post/fani_2019_tile_002_post.png,processed/masks/fani_2019_tile_002_mask.png,"{""0"": 261464, ""1"": 196, ""2"": 484, ""3"": 0, ""4"": 0}",expert_verified_ground_truth,0.95,Odisha,Puri,CYCLONE
fani_2019,fani_2019_tile_003,processed/images_pre/fani_2019_tile_003_pre.png,processed/images_post/fani_2019_tile_003_post.png,processed/masks/fani_2019_tile_003_mask.png,"{""0"": 261660, ""1"": 0, ""2"": 0, ""3"": 484, ""4"": 0}",expert_verified_ground_truth,0.95,Odisha,Puri,CYCLONE
